positionID,sport
QB,Football
DL,Football
WR,Football
PF,Basketball
OT,Football
S,Football
CB,Football
LB,Football
RB,Football
TE,Football
SF,Basketball
IOL,Football
EDGE,Football
PG,Basketball
CG,Basketball
OH,Volleyball
IF,Softball-Baseball
ATH,Football
MF,Soccer-Lacrosse
All,Gymnastics
SG,Basketball
C,Basketball
AT,Soccer-Lacrosse
G,Golf
K,Football
DF,Soccer-Lacrosse
DR,Track
GK,Soccer-Lacrosse
BB,Gymnastics
J,Track
LS,Football
H,Track
P,Baseball-Softball-Football
OF,Baseball-Softball
VT,Gymnastics
MB,Volleyball
T,Football-Track
L,Volleyball
PV,Track
DS,Volleyball
UB,Gymnastics
